order_id,customer_name,phone,email,city,product,category,amount,quantity,order_date,status,age
ORD-20260001,梁宇,16139958838,wangfang693@qq.com,上海,智能手表S1,办公用品,239.74,5,2026-08-03,已退款,18
ORD-20260002,陈静,14938898923,chenjing105@qq.com,长沙,无线鼠标M3,电子产品,188.94,4,2026-02-10,待付款,41
ORD-20260003,唐亮,16720709497,wangfang390@gmail.com,长沙,移动电源20000mAh,电脑配件,251.82,1,2026-11-08,已退款,28
ORD-20260004,周杰,15853524491,zhangwei235@qq.com,郑州,USB-C扩展坞,电子产品,321.84,4,2026-11-26,待发货,65
ORD-20260005,周杰,18158586340,lina522@outlook.com,上海,蓝牙耳机Pro,手机配件,181.27,4,2026-11-02,已退款,53
ORD-20260006,张伟,19845812670,chenjing115@gmail.com,青岛,智能手表S1,手机配件,181.27,1,2026-11-17,待付款,30
ORD-20260007,曹瑞,19710076758,huangli20@qq.com,重庆,机械键盘K8,电子产品,326.34,1,2026-09-30,已发货,53
ORD-20260008,何强,15782383095,zhaomin731@gmail.com,长沙,笔记本电脑支架,办公用品,261.39,5,2026-10-11,已发货,30
ORD-20260009,未知客户,19541944441,huangli220@163.com,厦门,机械键盘K8,办公用品,162.44,4,2026-07-30,待付款,59
ORD-20260010,赵敏,14343374088,huangli144@outlook.com,青岛,机械键盘K8,电子产品,243.4,1,2026-11-30,已完成,33
ORD-20260011,林洁,13732097220,yangfan272@outlook.com,厦门,移动电源20000mAh,办公用品,162.93,3,2026-01-30,已取消,51
ORD-20260012,何强,13841568532,zhaomin593@qq.com,天津,摄像头1080P,手机配件,162.74,2,2026-05-16,待付款,47
ORD-20260013,曹瑞,1422229110,lina956@gmail.com,南京,无线鼠标M3,手机配件,219.36,5,2026-01-05,已退款,60
ORD-20260014,彭博,14384252420,liuyang620@163.com,武汉,摄像头1080P,手机配件,46.94,1,2026-02-17,待发货,39
ORD-20260015,梁宇,18684045292,zhangwei115@qq.com,杭州,手机充电器65W,电子产品,62.01,3,2026-07-06,已完成,31
ORD-20260016,宋雅,18293303777,zhaomin886@163.com,成都,4K显示器27寸,手机配件,155.02,2,2026-05-17,待付款,20
ORD-20260017,黄莉,17450962024,zhaomin229@qq.com,郑州,无线鼠标M3,电脑配件,118.97,4,2026-12-14,已退款,19
ORD-20260018,周杰,16315134794,yangfan354@gmail.com,深圳,4K显示器27寸,电脑配件,225.14,2,2026-12-18,待付款,30
ORD-20260019,李娜,17099038359,liuyang520@gmail.com,苏州,4K显示器27寸,电脑配件,127.36,2,2026-11-12,已取消,18
ORD-20260020,杨帆,17172409658,zhaomin524@outlook.com,成都,摄像头1080P,电子产品,87.02,2,2026-12-11,已发货,20
ORD-20260021,林洁,18865625330,zhaomin736@outlook.com,南京,移动电源20000mAh,电子产品,317.25,4,2026-04-23,待付款,21
ORD-20260022,蒋敏,18999600766,chenjing973@outlook.com,天津,手机充电器65W,电脑配件,181.94,2,2026-11-23,已退款,33
ORD-20260023,李娜,17252910691,wangfang142@163.com,杭州,路由器AX6000,电脑配件,205.4,2,2026-08-04,已退款,19
ORD-20260024,曹瑞,17550079111,yangfan552@163.com,西安,4K显示器27寸,办公用品,86.02,2,2026-08-28,已退款,43
