order_id,customer_name,phone,email,city,product,category,amount,quantity,order_date,status,age
ORD-20260001,梁宇,16139958838,wangfang693@qq.com,上海,智能手表S1,办公用品,239.74,5.0,2026-08-03,已退款,18
ORD-20260002,陈静,14938898923,chenjing105@qq.com,长沙,无线鼠标M3,电子产品,188.94,4.0,2026/02/10,待付款,41
ORD-20260003,唐亮,16720709497,wangfang390@gmail.com,长沙,移动电源20000mAh,电脑配件,251.82,1.0,2026/11/08,已退款,28
ORD-20260004,周杰,15853524491,zhangwei235@qq.com,郑州,USB-C扩展坞,电子产品 ,321.84,4.0,2026-11-26,待发货,65
ORD-20260005,周杰,18158586340,lina522@outlook.com,上海,蓝牙耳机Pro,手机配件,181.27,4.0,2026年11月02日,已退款,53
ORD-20260006,张伟,19845812670,chenjing115@gmail.com,青岛,智能手表S1,手机配件,181.27,1.0,2026-11-17,待付款,30
ORD-20260007,曹瑞,19710076758,huangli20@qq.com,重庆,机械键盘K8,电子产品 ,326.34,1.0,30-09-2026,已发货,53
ORD-20260008,何强,15782383095,zhaomin731@gmail.com,长沙,笔记本电脑支架,办公用品,261.39,5.0,2026-10-11,已发货,未知
ORD-20260009,,19541944441,huangli220@163.com,厦门,机械键盘K8,办公用品,162.44,4.0,2026-07-30,待付款,59
ORD-20260010,赵敏,14343374088,huangli144@outlook.com,青岛,机械键盘K8,电子产品,243.4,1.0,2026年11月30日,已完成,33
ORD-20260011,林洁,13732097220,yangfan272@outlook.com,厦门,移动电源20000mAh,办公用品,162.93,3.0,2026-01-30,已取消,51
ORD-20260012,何强,13841568532,zhaomin593@qq.com,天津,摄像头1080P,手机配件,162.74,2.0,2026-05-16,待付款,47
ORD-20260013,曹瑞,1422229110,lina956@gmail.com,南京,无线鼠标M3,手机配件 ,219.36,5.0,2026/01/05,已退款,60
ORD-20260014,彭博,14384252420,liuyang620@163.com,武汉,摄像头1080P,手机配件,46.94,1.0,2026/02/17,待发货,39
ORD-20260015,梁宇,18684045292,zhangwei115@qq.com,杭州,手机充电器65W,电子 产品,62.01,3.0,06-07-2026,已完成,31
ORD-20260016,宋雅,18293303777,zhaomin886@163.com,成都,4K显示器27寸,手机 配件,155.02,2.0,2026-05-17,待付款,20
ORD-20260017,黄莉,17450962024,zhaomin229@qq.com,郑州,无线鼠标M3,电脑配件,118.97,4.0,2026年12月14日,已退款,19
ORD-20260018,周杰,16315134794,yangfan354@gmail.com,深圳,4K显示器27寸,电脑配件,225.14,1.5,2026/12/18,待付款,30
ORD-20260019,李娜,17099038359,liuyang520@gmail.com,苏州,4K显示器27寸,电脑配件,127.36,2.0,2026/11/12,已取消,18
ORD-20260020,杨帆,17172409658,zhaomin524@outlook.com,成都,摄像头1080P,Electronics,87.02,2.0,2026-12-11,已发货,20
ORD-20260021,林洁,18865625330,zhaomin736@outlook.com,南京,移动电源20000mAh,电子产品,317.25,4.0,2026-04-23,待付款,21
ORD-20260022,蒋敏,18999600766,chenjing973@outlook.com,天津,手机充电器65W,电脑配件,181.94,2.0,2026-11-23,已退款,33
ORD-20260023,李娜,17252910691,wangfang142@163.com,杭州,路由器AX6000, 电脑配件,205.4,2.0,2026-08-04,已退款,19
ORD-20260024,曹瑞,17550079111,yangfan552@163.com,西安,4K显示器27寸,办公用品,86.02,2.0,08/28/2026,已退款,43
ORD-20260025,,14771968116,liuyang389@gmail.com,苏州,无线鼠标M3,办公用品,156.45,1.0,2026-08-29,已退款,40
ORD-20260026,李娜,13343189803,zhangwei637@163.com,厦门,摄像头1080P,办公用品,208.87,5.0,11/07/2026,待付款,28
ORD-20260027,赵敏,17863238057,zhaomin78@163.com,重庆,摄像头1080P,电子产品,107.92,1.5,2026/08/08,已完成,39
ORD-20260027,朱峰,17695306788,huangli725@163.com,西安,数据线1.5m,办公用品,230.06,3.0,06-05-2026,已完成,46
ORD-20260029,胡斌,17313852048,chenjing187@outlook.com,西安,无线鼠标M3,电子产品 ,151.95,-2.0,2026-02-13,已取消,33
ORD-20260030,梁宇,13222489409,yangfan709@163.com,长沙,笔记本电脑支架,手机配件,176.66,4.0,2026-05-19,已发货,30
ORD-20260031,韩冰,15335708194,huangli284@gmail.com,武汉,USB-C扩展坞,手机配件,151.86,1.0,2026/01/28,待付款,58
ORD-20260032,林洁,1668875173,zhangwei259@outlook.com,广州,4K显示器27寸,电子产品,348.18,1.0,2026-05-08,已取消,57
ORD-20260033,何强,16888990506,liuyang583@qq.com,深圳,机械键盘K8,手机配件,198.92,1.0,2026-03-22,已取消,48
ORD-20260034,黄莉,18819553585,liuyang807@163.com,南京,摄像头1080P,电子产品,115.38,3.0,2026/11/01,已退款,46
ORD-20260035,唐亮,16477172238,huangli83@qq.com,苏州,数据线1.5m,电脑配件,265.8,5.0,2026年01月11日,待付款,54
ORD-20260035,曹瑞,18647333543,yangfan651@outlook.com,厦门,无线鼠标M3,手机配件,102.33,4.0,2026/05/28,已取消,53
ORD-20260035,李娜,18179067939,zhangwei674@outlook.com,武汉,手机充电器65W,办公用品,216.71,5.0,03/09/2026,已取消,49
ORD-20260038,梁宇,15051708177,yangfan96@163.com,深圳,笔记本电脑支架,电脑配件,43.23,3.0,01-08-2026,已取消,53
ORD-20260039,杨帆,14719369750,yangfan349@gmail.com,重庆,路由器AX6000,电子产品 ,93.75,4.0,2026-10-03,待发货,52
ORD-20260040,蒋敏,16086745380,yangfan45@gmail.com,郑州,4K显示器27寸,电脑配件,215.75,5.0,19-06-2026,已取消,47
ORD-20260040,刘洋,14920043277,liuyang347@outlook.com,苏州,摄像头1080P,办公用品,259.08,4.0,2026-10-05,已完成,61
ORD-20260042,黄莉,14295060193,wangfang455@163.com,北京,智能手表S1,电子产品,213.71,5.0,2026/07/30,已发货,23
ORD-20260043,马超,14841163805,liuyang471@gmail.com,青岛,USB-C扩展坞,电脑配件,190.75,3.0,11/24/2026,待付款,37
ORD-20260044,马超,17886762164,liuyang717gmail,郑州,USB-C扩展坞,办公用品,175.91,4.0,27-05-2026,已发货,40
ORD-20260045,杨帆,14794322033,zhangwei317outlook,长沙,路由器AX6000,电子产品,81.72,5.0,2026/07/07,待发货,34
ORD-20260046,林洁,17325457816,wangfang145@163.com,郑州,手机充电器65W,办公用品,13048.58,3.0,2026-10-27,待付款,24
ORD-20260047,,17191883846,wangfang651@outlook.com,重庆,摄像头1080P,电脑配件,163.15,1.0,2026-02-19,已退款,47
ORD-20260048,韩冰,14965684858,huangli631@outlook.com,西安,智能手表S1,电脑配件,284.57,1.0,2026-12-18,待付款,43
ORD-20260049,赵敏,14198955314,zhangwei52@gmail.com,杭州,数据线1.5m,Electronics,227.49,3.0,17-03-2026,已退款,保密
ORD-20260050,郭涛,13327690330,,南京,数据线1.5m,电脑配件,58.96,1.0,2026-02-02,待发货,24
ORD-20260051,黄莉,1966060517,zhangwei491@outlook.com,深圳,笔记本电脑支架,办公用品,225.93,1.0,2026-03-06,待付款,63
ORD-20260052,罗浩,18523311507,wangfang874@163.com,南京,4K显示器27寸,办公用品,169.19,3.0,2026-12-07,已发货,48
ORD-20260052,邓磊,17727463800,chenjing687@qq.com,天津,路由器AX6000,电子产品,145.85,2.0,2026/03/21,已发货,40
ORD-20260054,孙悦,15867594492,zhangwei624gmail,西安,路由器AX6000,手机配件,248.93,4.0,2026-02-05,待付款,23
ORD-20260055,杨帆,15059667685,chenjing796@qq.com,杭州,移动电源20000mAh,电子产品,282.48,4.0,2026-11-07,待发货,50
ORD-20260056,朱峰,19280723898,zhangwei226@outlook.com,上海,智能手表S1,办公用品,274.5,1.0,2026-01-04,已取消,42
